"No.","Time","Source","Destination","Protocol","Length","Info"
"92","0.075449","fe80::ebd0:adda:829:d158","ff02::c","ICMPv6","86","Multicast Listener Report"
"93","0.075525","fe80::ebd0:adda:829:d158","ff02::fb","ICMPv6","86","Multicast Listener Report"
"94","0.075600","fe80::ebd0:adda:829:d158","ff02::1:3","ICMPv6","86","Multicast Listener Report"
"95","0.076531","fe80::3600:9b02:8ef4:7407","ff02::fb","MDNS","395","Standard query response 0x0000 PTR Spotify Desktop Launcher(10)._spotify-connect._tcp.local SRV 0 0 57096 Joao-PC.local TXT A 194.210.223.97 AAAA 2001:690:2100:1016:b6f0:8a2b:4ce5:bc55 AAAA 2001:690:2100:1016:4587:76cd:4932:9711 AAAA fe80::3600:9b02:8ef4:7407"
"96","0.076785","fe80::9465:88ff:fe4c:14db","ff02::fb","ICMPv6","86","Multicast Listener Report"
"97","0.076883","fe80::3600:9b02:8ef4:7407","ff02::fb","MDNS","395","Standard query response 0x0000 PTR Spotify Desktop Launcher(10)._spotify-connect._tcp.local SRV 0 0 57096 Joao-PC.local TXT A 194.210.223.97 AAAA 2001:690:2100:1016:b6f0:8a2b:4ce5:bc55 AAAA 2001:690:2100:1016:4587:76cd:4932:9711 AAAA fe80::3600:9b02:8ef4:7407"
"98","0.077111","fe80::3600:9b02:8ef4:7407","ff02::fb","MDNS","395","Standard query response 0x0000 PTR Spotify Desktop Launcher(10)._spotify-connect._tcp.local SRV 0 0 57096 Joao-PC.local TXT A 194.210.223.97 AAAA 2001:690:2100:1016:b6f0:8a2b:4ce5:bc55 AAAA 2001:690:2100:1016:4587:76cd:4932:9711 AAAA fe80::3600:9b02:8ef4:7407"
"99","0.077393","194.210.223.97","224.0.0.251","MDNS","375","Standard query response 0x0000 PTR Spotify Desktop Launcher(10)._spotify-connect._tcp.local SRV 0 0 57096 Joao-PC.local TXT A 194.210.223.97 AAAA 2001:690:2100:1016:b6f0:8a2b:4ce5:bc55 AAAA 2001:690:2100:1016:4587:76cd:4932:9711 AAAA fe80::3600:9b02:8ef4:7407"
"100","0.077601","fe80::e608:4bcf:dd8f:569f","ff02::fb","MDNS","387","Standard query response 0x0000 PTR Spotify Desktop Launcher(6)._spotify-connect._tcp.local SRV 0 0 64618 Titi.local TXT A 194.210.234.174 AAAA 2001:690:2100:1016:3c7f:38f9:d6d:d2bb AAAA 2001:690:2100:1016:20f6:1672:64ba:f51c AAAA fe80::e608:4bcf:dd8f:569f"
"101","0.078886","fe80::e608:4bcf:dd8f:569f","ff02::fb","MDNS","387","Standard query response 0x0000 PTR Spotify Desktop Launcher(6)._spotify-connect._tcp.local SRV 0 0 64618 Titi.local TXT A 194.210.234.174 AAAA 2001:690:2100:1016:3c7f:38f9:d6d:d2bb AAAA 2001:690:2100:1016:20f6:1672:64ba:f51c AAAA fe80::e608:4bcf:dd8f:569f"
